,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Paris,16843.43280308761,10074,20892,0.48219414129810456,#7ac77b
2,CeraVe,8535.237919892601,6268,18026,0.34771996005769445,#a9dca3
1,products,9889.052626764364,5845,7098,0.8234714003944773,#0e7936
3,skin,6730.2283058773655,4697,6399,0.7340209407719956,#278f48
6,brand,5897.767168238458,4070,5485,0.7420237010027347,#258d47
5,Beauty,6022.234405138575,3904,4794,0.8143512724238632,#117b38
10,Serum,4448.99091083511,2754,4560,0.6039473684210527,#4aaf61
4,Global,6569.7472770913055,3338,4213,0.7923095181580821,#17813d
17,Cream,3847.0097397613617,2670,3990,0.6691729323308271,#369f54
8,Business,4829.510184892525,2972,3475,0.8552517985611511,#067230
34,Oil,2970.4442823865634,2292,3332,0.687875150060024,#319a50
29,skincare,3128.0758619773464,2622,3317,0.7904733192643956,#17813d
19,provides,3678.765984970113,3163,3314,0.9544357272178636,#005221
20,Color,3666.8752664216117,2352,3196,0.7359198998748435,#268e47
13,industry,4141.746923841959,2973,3125,0.95136,#005321
